13,19
38
Van,70,12,91,1,9
Sam,85,3,59,3,6
Jorge,90,24,24,4,17
Zack,53,16,49,10,18
Rob,80,7,4,12,2
Nate,75,9,6,0,6
Max,96,3,61,10,10
Phil,94,9,42,11,4
Juan,61,2,43,6,13
Mark,80,1,37,7,12
Mike,85,2,18,0,4
Ty,66,12,11,2,12
Ramon,83,1,100,9,5
Rafa,54,22,90,10,16
Paul,54,21,21,9,11
Troy,52,23,5,11,10
Dave,50,14,37,2,3
Ruben,50,11,14,2,13
Rick,71,10,56,6,10
Wes,82,3,93,3,0
Rodri,71,19,35,4,6
Will,98,6,2,2,9
Luis,80,20,41,10,3
Owen,56,2,4,7,10
Pedro,71,10,45,11,6
Carl,54,9,52,11,13
Raul,90,22,27,8,5
Trey,55,24,46,6,11
Nick,76,13,5,11,15
Zane,51,1,65,0,15
Vic,71,22,79,6,0
Dan,80,25,3,6,17
Jose,86,4,93,3,2
Milo,82,16,98,7,7
Andre,59,19,88,10,0
Zeb,70,13,30,1,1
Alex,71,13,75,11,1
Sean,76,23,55,1,10
38
Moe,92,6,62,7,9
Rex,79,25,37,8,14
Nate,69,21,44,3,9
Zeb,95,25,84,6,6
Will,85,22,74,12,14
Rafa,63,16,17,9,7
Max,89,8,1,8,6
Jorge,63,8,93,3,4
Alex,69,24,13,2,15
Pedro,99,13,28,11,0
Zed,97,22,44,7,17
Andre,61,4,37,6,1
Dan,92,24,1,12,12
Vic,72,11,16,4,5
Owen,56,14,91,9,0
Kirk,51,1,42,6,16
Zack,65,3,74,8,2
Rick,75,3,31,2,1
Ziv,77,8,20,5,13
Mark,62,22,50,5,8
Zane,72,15,9,2,16
Dave,66,18,34,10,13
Zeke,93,5,81,5,9
Phil,60,4,23,5,0
Juan,78,8,80,12,0
Ramon,76,19,4,1,8
Rob,67,13,10,1,3
Troy,87,7,80,3,15
Mike,95,18,13,12,16
Pablo,93,13,67,4,7
Jose,61,21,93,3,13
Paul,64,9,13,5,4
Raul,76,17,70,0,7
Roy,59,8,26,10,2
Trey,53,14,66,11,14
Luis,54,18,56,6,9
Seth,67,7,10,5,10
Van,75,13,56,6,2
