7,11
22
Zeke,51,11,79,2,9
Milo,85,6,46,4,3
Van,53,17,65,4,8
Ty,93,22,84,0,0
Nate,69,5,59,6,7
Mike,91,13,92,4,1
Rodri,92,12,93,6,1
Will,71,22,78,6,0
Zack,74,24,13,1,4
Vic,62,7,79,1,10
Ruben,80,24,34,2,3
Rex,96,3,16,0,1
Alex,86,16,24,3,2
Ziv,67,14,76,2,1
Rick,78,13,92,6,4
Phil,99,19,60,4,4
Luis,95,23,61,3,10
Zion,66,14,35,4,5
Raul,57,5,97,3,8
Jose,60,23,11,5,8
Andre,92,16,85,1,8
Wes,100,21,89,2,6
22
Zed,87,8,60,1,3
Luis,90,2,59,5,5
Dave,54,25,91,3,0
Mark,74,8,74,2,2
Sean,58,3,56,1,9
Mike,62,6,50,0,3
Pablo,69,22,78,4,2
Vic,71,4,59,6,3
Rafa,97,13,98,3,5
Max,71,11,82,6,6
Dan,74,19,50,6,2
Juan,59,15,50,1,2
Van,82,25,82,4,0
Rick,98,5,17,1,0
Milo,73,13,35,6,5
Zack,64,16,51,0,8
Rex,61,21,17,0,9
Pedro,66,25,8,6,10
Zeb,97,25,41,3,7
Ruben,85,1,19,3,1
Ty,58,22,97,2,10
Paul,80,23,5,1,5
